genome_id,ceftriaxone,ciprofloxacin,meropenem
562.10275,Susceptible,Susceptible,
562.102756,,,Susceptible
562.102757,,,Susceptible
562.10276,,,Susceptible
562.102763,Susceptible,,
562.102771,,,Susceptible
562.102775,Susceptible,,
562.102777,Susceptible,,
562.102786,,Susceptible,
562.102789,Susceptible,,
562.10279,,Susceptible,
562.102805,Resistant,,
562.10282,,,Susceptible
562.102825,,,Susceptible
562.102835,,Resistant,
562.10284,Susceptible,,
562.102869,Susceptible,,
562.102883,,Susceptible,
562.102887,Susceptible,,
562.102889,,,Susceptible
562.10395,,Susceptible,Susceptible
562.103951,,Resistant,
562.10396,,,Susceptible
562.103971,,Susceptible,
562.103981,Susceptible,,Susceptible
562.103993,,Resistant,
562.103998,Resistant,,
562.104004,,Resistant,Susceptible
562.104012,,Susceptible,
562.104016,,,Susceptible
562.104017,Resistant,,
562.104027,Resistant,,
562.104035,,,Susceptible
562.104036,,Susceptible,Susceptible
562.104043,,,Susceptible
562.104044,,,Susceptible
562.104055,,,Susceptible
562.104069,,,Resistant
562.104089,,Resistant,
562.104103,,,Resistant
562.104111,,,Resistant
562.104123,Resistant,,
562.104124,,,Resistant
562.104129,Resistant,,
562.104133,,,Resistant
562.104156,,Susceptible,
562.104178,,Resistant,
562.10418,,,Susceptible
562.104195,,,Susceptible
562.104196,Resistant,,
562.104213,Resistant,,
562.10423,,,Susceptible
562.104269,,Susceptible,
562.104271,Resistant,,
562.104272,,,Resistant
562.104286,Resistant,,
562.104288,Susceptible,,
562.104292,Susceptible,,
562.104294,Susceptible,,
562.104304,,,Susceptible
562.104316,Susceptible,,
562.104327,,,Susceptible
562.10433,Susceptible,,
562.104332,,Susceptible,
562.104339,,,Susceptible
562.104349,Susceptible,,
562.104351,Susceptible,,
562.104362,,Resistant,
562.104364,,Susceptible,
562.104368,Resistant,,Susceptible
562.104373,,Susceptible,
562.10501,,Susceptible,
562.10504,Resistant,,
562.10524,Resistant,,
562.10525,,,Susceptible
562.10576,,,Susceptible
562.106024,,,Susceptible
562.106042,,Resistant,
562.106053,Susceptible,,
562.106067,,,Susceptible
562.10608,Susceptible,,
562.106082,,Resistant,
562.106087,,Susceptible,
562.106103,,Susceptible,
562.106107,Resistant,,
562.106112,,Resistant,
562.106126,,,Susceptible
562.106131,,Resistant,
562.106132,,,Susceptible
562.106135,Susceptible,,
562.106136,,,Susceptible
562.106152,,Susceptible,
562.106153,,,Susceptible
562.106154,,Resistant,
562.106156,Susceptible,,
562.106191,Resistant,,
562.106192,Susceptible,,
562.106204,,Susceptible,
562.106224,Resistant,,
562.106236,,Susceptible,
562.106239,,,Susceptible
562.10626,Susceptible,,
562.106266,,,Susceptible
562.106269,,,Susceptible
562.106289,Susceptible,,
562.106292,,,Susceptible
562.106311,,,Susceptible
562.106318,,Susceptible,
562.10632,Resistant,,
562.106324,Susceptible,,
562.106326,,Susceptible,
562.107099,,Resistant,
562.1071,Susceptible,,
562.107104,,,Susceptible
562.107111,,,Susceptible
562.107145,,,Susceptible
562.107155,,Resistant,
562.107156,,Resistant,
562.10717,,,Susceptible
562.107173,,,Susceptible
562.107185,,Susceptible,
562.107191,Resistant,,
562.107223,,Resistant,
562.107226,,,Susceptible
562.107239,,Susceptible,
562.107245,,Susceptible,
562.107257,Susceptible,,
562.107261,,,Susceptible
562.107266,Susceptible,,
562.10727,Susceptible,,
562.107279,Resistant,,
562.107284,,Resistant,
562.107288,Susceptible,,
562.107293,Resistant,,
562.107357,Susceptible,,
562.107378,Susceptible,,
562.107379,,,Susceptible
562.107385,Susceptible,,
562.107389,,,Susceptible
562.107396,,Susceptible,
562.107403,Susceptible,,
562.10742,Susceptible,,
562.107426,,Susceptible,
562.107441,,,Susceptible
562.107448,Susceptible,,
562.107459,Susceptible,,
562.107461,Susceptible,,
562.107478,,Susceptible,
562.107496,,,Susceptible
562.107507,,,Susceptible
562.107518,,,Resistant
562.10752,Resistant,,
562.107523,Susceptible,,
562.107531,Susceptible,,
562.107536,,,Susceptible
562.107543,,Resistant,
562.107548,,,Resistant
562.107549,Resistant,,
562.107593,,,Resistant
562.107598,Susceptible,,
562.1076,,,Resistant
562.107633,,Susceptible,
562.10765,Resistant,,
562.10766,Resistant,,
562.107678,,Resistant,
562.107686,,Resistant,
562.107707,,Resistant,
562.107708,,Resistant,
562.107717,,Resistant,Resistant
562.107737,,Susceptible,
562.10839,,,Susceptible
562.108402,,Susceptible,
562.108409,Resistant,,
562.10841,,,Susceptible
562.108416,Resistant,,
562.10842,,,Susceptible
562.108428,,,Susceptible
562.108447,Susceptible,,
562.108451,Susceptible,,
562.108458,,Resistant,
562.108473,,Susceptible,
562.108477,,Susceptible,
562.108483,,,Susceptible
562.108498,Susceptible,,
562.108499,,,Susceptible
562.108513,Susceptible,,
562.10852,,Resistant,
562.10854,,,Susceptible
562.108568,,Resistant,
562.10857,,,Susceptible
562.108584,Susceptible,,
562.108586,,,Susceptible
562.10859,,,Susceptible
562.108637,Resistant,Susceptible,
562.108656,Susceptible,,
562.108678,,Susceptible,
562.108686,,,Susceptible
562.108719,Resistant,,Susceptible
562.108729,,,Susceptible
562.108737,,Susceptible,
562.108738,,,Susceptible
562.108745,Susceptible,,
562.10875,,Susceptible,Susceptible
562.10876,,Resistant,
562.108761,,Susceptible,
562.108764,,Resistant,
562.108775,,,Susceptible
562.108784,,,Susceptible
562.108795,Susceptible,,Susceptible
562.108818,Resistant,,
562.10882,,,Susceptible
562.10883,,Resistant,
562.108837,,Resistant,
562.108842,Resistant,,Susceptible
562.108848,,Resistant,
562.108849,Susceptible,,
562.108861,,Resistant,Susceptible
562.108868,Resistant,,
562.108909,Resistant,,
562.108913,,Resistant,
562.108914,,Susceptible,
562.108916,,Susceptible,
562.108918,,Susceptible,
562.108919,,Susceptible,
562.108921,Susceptible,,
562.108933,Susceptible,,
562.108934,Susceptible,,
562.108956,Susceptible,,
562.10896,,Susceptible,
562.109775,Resistant,,
562.10978,,Resistant,
562.109783,,Resistant,Resistant
562.109786,Resistant,,
562.109787,,,Susceptible
562.109791,,Resistant,
562.109801,Susceptible,,
562.109803,,,Susceptible
562.109815,,Resistant,
562.109817,,,Susceptible
562.109832,,Resistant,
562.109868,Resistant,,
562.109874,,Resistant,
562.109879,,,Susceptible
562.10988,,,Susceptible
562.109882,Susceptible,,
562.109885,Resistant,,
562.109889,Resistant,,
562.109899,Resistant,,
562.1099,,Resistant,
562.109903,,Resistant,
562.109905,,Resistant,
562.109919,,,Susceptible
562.109921,,,Susceptible
562.109923,,Resistant,
562.109927,,,Susceptible
562.109928,,,Susceptible
562.109932,Resistant,,
562.109937,,Resistant,
562.109948,,Resistant,
